-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us        8.219s       252.17%        8.219s        8.219s           0 B           0 B           0 B           0 B             1  
                                        model_inference        28.71%        2.360s       100.00%        8.220s        8.220s       0.000us         0.00%        3.259s        3.259s           0 B         -48 B           0 B    -683.99 GB             1  
                                           aten::matmul         0.59%      48.413ms         9.43%     775.104ms      30.516us       0.000us         0.00%        1.133s      44.613us           0 B           0 B     244.21 MB           0 B         25400  
                                               aten::mm         7.46%     613.078ms         8.73%     717.254ms      28.350us        1.133s        34.75%        1.133s      44.772us           0 B           0 B     244.16 MB     244.16 MB         25300  
                       triton_poi_fused_index_mul_sub_0         2.95%     242.270ms         5.17%     425.091ms      16.869us        1.035s        31.75%        1.035s      41.065us           0 B           0 B           0 B           0 B         25200  
                       triton_poi_fused_index_mul_sub_0         0.00%       0.000us         0.00%       0.000us       0.000us        1.035s        31.75%        1.035s      41.065us           0 B           0 B           0 B           0 B         25200  
                             Torch-Compiled Region: 0/8         4.97%     408.452ms         7.18%     589.894ms      81.930us       0.000us         0.00%     488.159ms      67.800us           0 B           0 B     337.50 GB     337.50 GB          7200  
Cijk_Ailk_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     366.382ms        11.24%     366.382ms      50.886us           0 B           0 B           0 B           0 B          7200  
Cijk_Ailk_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     294.697ms         9.04%     294.697ms      81.860us           0 B           0 B           0 B           0 B          3600  
                                              aten::mul         3.31%     271.762ms         5.11%     419.700ms       8.854us     277.887ms         8.53%     277.887ms       5.863us           0 B           0 B     356.70 MB     356.70 MB         47400  
