-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us       16.872s       112.43%       16.872s       16.872s           0 B           0 B           0 B           0 B             1  
                                        model_inference        24.70%        4.167s       100.00%       16.873s       16.873s       0.000us         0.00%       15.007s       15.007s           0 B         -48 B           0 B    -751.37 GB             1  
                             ScaledFakeQuantizeFunction         4.45%     751.695ms        33.02%        5.572s      96.402us       0.000us         0.00%       13.014s     225.156us           0 B           0 B     749.42 GB           0 B         57800  
                            quark::scaled_fake_quantize        15.09%        2.547s        28.57%        4.820s      83.397us        7.731s        51.51%       13.014s     225.156us           0 B           0 B     749.42 GB   -3008.21 GB         57800  
void at::native::vectorized_elementwise_kernel<4, fa...         0.00%       0.000us         0.00%       0.000us       0.000us        7.731s        51.51%        7.731s     133.753us           0 B           0 B           0 B           0 B         57800  
                                            aten::copy_         3.32%     560.233ms         6.60%        1.113s       7.651us        5.346s        35.62%        5.346s      36.746us           0 B           0 B           0 B           0 B        145476  
                                               aten::to         1.22%     205.401ms        13.41%        2.263s       6.779us       0.000us         0.00%        5.345s      16.014us           0 B           0 B    2259.06 GB           0 B        333776  
                                         aten::_to_copy         2.94%     495.811ms        12.19%        2.057s      14.171us       0.000us         0.00%        5.345s      36.817us           0 B           0 B    2259.06 GB           0 B        145175  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us        2.745s        18.29%        2.745s      37.859us           0 B           0 B           0 B           0 B         72500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        2.600s        17.32%        2.600s      35.857us           0 B           0 B           0 B           0 B         72500  
